Date,Open,High,Low,Close,Volume
1992-08-31,579.62,583.84,550.36,563.12,2867515500
1992-09-30,562.51,594.21,562.36,583.27,3441716100
1992-10-31,581.08,606.58,551.72,605.17,3928031700
1992-11-30,603.76,652.75,603.31,652.73,4096305900
1992-12-31,650.58,676.95,648.75,676.95,4603230300
1993-01-31,675.31,711.03,670.51,696.34,4824337800
1993-02-28,697.98,711.28,647.79,670.77,4625457300
1993-03-31,670.88,697.41,668.74,690.13,4760809500
1993-04-30,690.82,691.15,644.71,661.42,4544910000
1993-05-31,662.75,707.05,661.43,700.53,4749007800
1993-06-30,700.96,706.63,682.89,703.95,4995318300
1993-07-31,702.01,713.96,694.53,704.7,4827909000
1993-08-31,706.38,742.91,705.06,742.84,5312215800
1993-09-30,743.65,766.57,724.48,762.78,5372312400
1993-10-31,761.62,791.2,758.9,779.26,6231734700
1993-11-30,780.37,786.1,737.67,754.39,5809598400
1993-12-31,759.9,776.87,750.3,776.8,5789370900
1994-01-31,774.11,800.63,768.41,800.47,6215506200
1994-02-28,798.42,799.99,767.3,792.5,5574382800
1994-03-31,792.1,804.43,731.85,743.46,6809441400
1994-04-30,723.06,755.35,703.4,733.84,5229743400
1994-05-31,733.97,742.46,703.84,735.19,5341148100
1994-06-30,733.18,744.94,690.95,705.96,5595019500
1994-07-31,706.29,725.19,699.41,722.16,4962349800
1994-08-31,722.84,767.6,715.91,765.62,6227214900
1994-09-30,763,779.58,752.49,764.29,5547087300
1994-10-31,764.47,778.81,737.62,777.49,6161798700
1994-11-30,776.25,776.86,728.78,750.32,5754951600
1994-12-31,748.83,751.98,710.94,751.96,5737848900
1995-01-31,751.31,774.31,740.47,755.2,5979648900
1995-02-28,756.68,796.02,756.68,793.73,5771635800
1995-03-31,794.33,829.92,790.35,817.21,7068837000
1995-04-30,816.06,844.42,810.89,843.98,6426951000
1995-05-31,844.72,885.92,839.43,864.58,7564387500
1995-06-30,865.67,941.17,863.84,933.45,8179480200
1995-07-31,933.99,1023.03,931.99,1001.21,8422210200
1995-08-31,1001.57,1035.19,970.81,1020.11,9181824900
1995-09-30,1019.42,1070.23,1008.44,1043.54,8354692200
1995-10-31,1041.39,1050.65,959.36,1036.06,8984255700
1995-11-30,1037.3,1068.81,1016.58,1059.2,8876208300
1995-12-31,1060.66,1074.85,1001.53,1052.13,9274425000
1996-01-31,1052.83,1059.81,977.79,1059.79,10533375300
1996-02-29,1058.26,1121.89,1057.82,1100.05,9942099900
1996-03-31,1098.94,1119.84,1057.87,1101.4,9903430500
1996-04-30,1105.77,1190.87,1092.44,1190.52,11115108900
1996-05-31,1190.48,1252.81,1163.21,1243.43,13532058000
1996-06-30,1242.54,1254.12,1147.75,1185.02,10675563000
1996-07-31,1185.64,1198.04,1008.44,1080.59,10981365600
1996-08-31,1081.34,1153.9,1080.41,1141.5,9017698500
1996-09-30,1133.3,1237.26,1123.14,1226.92,9901700700
1996-10-31,1223.73,1269.62,1202.36,1221.51,11665771200
1996-11-30,1223.72,1293.75,1218.23,1292.61,10205429400
1996-12-31,1294.78,1328.95,1251.03,1291.03,11023206300
1997-01-31,1292.65,1400.53,1272.34,1379.85,13089192000
1997-02-28,1383.97,1384.51,1296.88,1309,11195154000
1997-03-31,1306.21,1332.34,1220.4,1221.7,11005815300
1997-04-30,1211.28,1267.41,1194.16,1260.76,11580732000
1997-05-31,1263.93,1414.26,1260.94,1400.32,12002198700
1997-06-30,1407.07,1467.29,1375.45,1442.07,11700264900
1997-07-31,1442.65,1595.76,1432.42,1593.81,13328360100
